chembl_id	molregno	target_kinase	canonical_smiles	scaffold_smile	similarity_smiles	standard_value	standard_type	pchembl_value	compound_name
CHEMBL100206	160923	Dual specificity mitogen-activated protein kinase kinase 7	O=C(O)CCSC1=CC(=O)c2ccccc2C1=O	O=C1C=CC(=O)c2ccccc21	0.1076923076923077	230.0	IC50	6.64	
CHEMBL100206	160923	Dual specificity mitogen-activated protein kinase kinase 7	O=C(O)CCSC1=CC(=O)c2ccccc2C1=O	O=C1C=CC(=O)c2ccccc21	0.1076923076923077	230.0	Kd	6.64	
CHEMBL100289	162438	Protein kinase C, PKC; classical	CCCCCCCCCCCCCCCC(=O)N1CCCCC1CNC(=O)[C@@H](N)CCCCN	C1CCNCC1	0.11214953271028037	45000.0	IC50	4.35	
CHEMBL100713	163192	Protein kinase C, PKC; classical	CCCCCCCCCCCCC(=O)N1CCCCC1CNC(=O)[C@H](N)CCCCN	C1CCNCC1	0.12244897959183673	34000.0	IC50	4.47	
CHEMBL1009	112655	Tyrosine-protein kinase FYN	N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	c1ccccc1	0.2553191489361702	2146.0	IC50	5.67	LEVODOPA
CHEMBL1009	112655	Tyrosine-protein kinase LCK	N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	c1ccccc1	0.2553191489361702	3729.0	IC50	5.43	LEVODOPA
CHEMBL101142	162956	Protein kinase C, PKC; classical	CCCCCCCCCCCCCCCCCC(=O)N1CCCCC1CNC(=O)[C@@H](N)CCCCN	C1CCNCC1	0.10619469026548672	36000.0	IC50	4.44	
CHEMBL101616	163971	Protein kinase C alpha	C=CCC(=O)Oc1cccc2c1C(=O)O[C@]2(CO)COC(C)=O	O=C1OCc2ccccc21	0.1038961038961039	122.0	Ki	6.91	
CHEMBL101892	160650	Adenosine kinase	NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12	c1ncc2ccn([C@H]3CCCO3)c2n1	0.10810810810810811	470.0	IC50	6.33	SANGIVAMYCIN
CHEMBL101892	160650	Adenosine kinase	NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12	c1ncc2ccn([C@H]3CCCO3)c2n1	0.10810810810810811	16500.0	IC50	4.78	SANGIVAMYCIN
CHEMBL101892	160650	G-protein coupled receptor kinase 2	NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12	c1ncc2ccn([C@H]3CCCO3)c2n1	0.10810810810810811	67000.0	Ki	4.17	SANGIVAMYCIN
CHEMBL101892	160650	Rhodopsin kinase	NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12	c1ncc2ccn([C@H]3CCCO3)c2n1	0.10810810810810811	180.0	Ki	6.75	SANGIVAMYCIN
CHEMBL102042	164011	Protein kinase C alpha	CCCCCCCC(=O)OC[C@H](CO)OC(C)=O		0.14516129032258066	540.0	Ki	6.27	
CHEMBL102765	167531	Tyrosine-protein kinase SRC	C[C@H](NC(=O)[C@@H](CC(=O)O)Cc1ccc(OP(=O)(O)O)cc1)c1nc(Cc2ccc(Cl)c(Cl)c2)no1	O=C(CCc1ccccc1)NCc1nc(Cc2ccccc2)no1	0.1	53000.0	IC50	4.28	
